_element_key,_element_name,_element_type,_list_child_element_keys
GE,GE,integer,[]
ano,ano,integer,[]
campo,campo,integer,[]
comentario_1,comentario_1,string,[]
cs,cs,string,[]
dn,dn,string,[]
fez_ge,fez_ge,integer,[]
hb,hb,number,[]
id_formssentinela,id_formssentinela,string,[]
id_paciente,id_paciente,assign,[]
lab,lab,string,[]
leuco,leuco,number,[]
mes,mes,integer,[]
nome,nome,string,[]
nome_casa,nome_casa,string,[]
sexo,sexo,integer,[]
tdr,tdr,integer,[]
tdr_resultado,tdr_resultado,integer,[]
