_element_key,_element_name,_element_type,_list_child_element_keys
DOB_idade,DOB_idade,integer,[]
ano,ano,integer,[]
comentario,comentario,string,[]
comentario_2,comentario_2,string,[]
consultor,consultor,string,[]
cs,cs,string,[]
csname,csname,string,[]
data_consulta,data_consulta,assign,[]
diagno_secund,diagno_secund,string,[]
diagnostico,diagnostico,string,[]
dn,dn,string,[]
envio_tdr,envio_tdr,integer,[]
esp_diagnostico,esp_diagnostico,string,[]
esp_diagnostico_secudario,esp_diagnostico_secudario,string,[]
febre,febre,integer,[]
freq,freq,integer,[]
gravidez,gravidez,integer,[]
hospital,hospital,integer,[]
id_formssentinela,id_formssentinela,string,[]
id_paciente,id_paciente,assign,[]
inq,inq,string,[]
med,med,string,[]
mes,mes,integer,[]
nome,nome,string,[]
nome_casa,nome_casa,string,[]
numero_codigo,numero_codigo,integer,[]
peso,peso,number,[]
procedencia,procedencia,string,[]
quanti,quanti,number,[]
saida,saida,integer,[]
sexo,sexo,integer,[]
sub_dx,sub_dx,string,[]
sub_dx2,sub_dx2,string,[]
temperatura,temperatura,number,[]
tto,tto,integer,[]
unidade,unidade,integer,[]
via,via,string,[]
